seed,init_scheme,param,angle
123,random init,conv_0.conv.weight,87.77350616455078
123,random init,conv_1.conv.weight,95.21416473388672
123,random init,fc1.linear1.weight,90.86048126220703
123,random init,fc2.linear1.weight,0.04845663905143738
124,random init,conv_0.conv.weight,79.96503448486328
124,random init,conv_1.conv.weight,89.89364624023438
124,random init,fc1.linear1.weight,89.8381118774414
124,random init,fc2.linear1.weight,0.02797645516693592
125,random init,conv_0.conv.weight,84.01200103759766
125,random init,conv_1.conv.weight,91.99911499023438
125,random init,fc1.linear1.weight,89.78463745117188
125,random init,fc2.linear1.weight,0.044234659522771835
126,random init,conv_0.conv.weight,85.60902404785156
126,random init,conv_1.conv.weight,95.7492446899414
126,random init,fc1.linear1.weight,91.3883285522461
126,random init,fc2.linear1.weight,0.02797645516693592
127,random init,conv_0.conv.weight,94.99250793457031
127,random init,conv_1.conv.weight,92.98228454589844
127,random init,fc1.linear1.weight,89.58487701416016
127,random init,fc2.linear1.weight,0.0
123,symmetric init,conv_0.conv.weight,22.45003890991211
123,symmetric init,conv_1.conv.weight,2.4861671924591064
123,symmetric init,fc1.linear1.weight,0.03426402062177658
123,symmetric init,fc2.linear1.weight,0.04845663905143738
124,symmetric init,conv_0.conv.weight,23.80144691467285
124,symmetric init,conv_1.conv.weight,2.1813087463378906
124,symmetric init,fc1.linear1.weight,0.0
124,symmetric init,fc2.linear1.weight,0.02797645516693592
125,symmetric init,conv_0.conv.weight,20.043241500854492
125,symmetric init,conv_1.conv.weight,2.73738169670105
125,symmetric init,fc1.linear1.weight,0.03426402062177658
125,symmetric init,fc2.linear1.weight,0.044234659522771835
126,symmetric init,conv_0.conv.weight,21.814645767211914
126,symmetric init,conv_1.conv.weight,2.707543134689331
126,symmetric init,fc1.linear1.weight,0.01978234015405178
126,symmetric init,fc2.linear1.weight,0.02797645516693592
127,symmetric init,conv_0.conv.weight,20.302610397338867
127,symmetric init,conv_1.conv.weight,2.06488037109375
127,symmetric init,fc1.linear1.weight,0.01978234015405178
127,symmetric init,fc2.linear1.weight,0.0
123,l-drl init,conv_0.conv.weight,35.545166015625
123,l-drl init,conv_1.conv.weight,6.44159460067749
123,l-drl init,fc1.linear1.weight,2.587474822998047
123,l-drl init,fc2.linear1.weight,0.04845663905143738
124,l-drl init,conv_0.conv.weight,33.09373474121094
124,l-drl init,conv_1.conv.weight,7.30191707611084
124,l-drl init,fc1.linear1.weight,2.6017329692840576
124,l-drl init,fc2.linear1.weight,0.02797645516693592
125,l-drl init,conv_0.conv.weight,27.367021560668945
125,l-drl init,conv_1.conv.weight,7.577404499053955
125,l-drl init,fc1.linear1.weight,2.701753616333008
125,l-drl init,fc2.linear1.weight,0.044234659522771835
126,l-drl init,conv_0.conv.weight,37.77138137817383
126,l-drl init,conv_1.conv.weight,7.083216190338135
126,l-drl init,fc1.linear1.weight,2.540602684020996
126,l-drl init,fc2.linear1.weight,0.02797645516693592
127,l-drl init,conv_0.conv.weight,28.643104553222656
127,l-drl init,conv_1.conv.weight,6.108718395233154
127,l-drl init,fc1.linear1.weight,2.670564651489258
127,l-drl init,fc2.linear1.weight,0.0
